11:30:36.198 -> O3: 1.26 ppm, NOx: 1.34 ppm
11:30:41.246 -> O3: 1.16 ppm, NOx: 1.24 ppm
11:30:46.362 -> O3: 1.18 ppm, NOx: 1.14 ppm
11:30:51.467 -> O3: 1.39 ppm, NOx: 1.65 ppm
11:30:56.534 -> O3: 1.17 ppm, NOx: 1.16 ppm
11:31:01.654 -> O3: 1.21 ppm, NOx: 1.14 ppm
11:31:06.749 -> O3: 1.29 ppm, NOx: 1.49 ppm
11:31:11.819 -> O3: 1.10 ppm, NOx: 1.03 ppm
11:31:16.913 -> O3: 1.35 ppm, NOx: 1.47 ppm
11:31:21.994 -> O3: 0.93 ppm, NOx: 0.74 ppm
11:31:27.093 -> O3: 1.17 ppm, NOx: 1.09 ppm
11:31:32.194 -> O3: 1.00 ppm, NOx: 0.88 ppm
11:31:37.251 -> O3: 1.24 ppm, NOx: 1.32 ppm
11:31:42.369 -> O3: 1.05 ppm, NOx: 0.88 ppm
11:31:47.434 -> O3: 1.14 ppm, NOx: 1.18 ppm
11:31:52.526 -> O3: 1.20 ppm, NOx: 1.13 ppm
11:31:57.643 -> O3: 0.90 ppm, NOx: 0.73 ppm
11:32:02.730 -> O3: 1.15 ppm, NOx: 1.13 ppm
11:32:07.821 -> O3: 0.90 ppm, NOx: 0.63 ppm
11:32:12.889 -> O3: 0.98 ppm, NOx: 0.91 ppm
11:32:17.991 -> O3: 1.13 ppm, NOx: 1.03 ppm
11:32:23.106 -> O3: 0.95 ppm, NOx: 0.74 ppm
11:32:28.205 -> O3: 1.13 ppm, NOx: 1.11 ppm
11:32:33.256 -> O3: 0.94 ppm, NOx: 0.72 ppm
11:32:38.376 -> O3: 0.98 ppm, NOx: 0.88 ppm
11:32:43.473 -> O3: 1.15 ppm, NOx: 1.07 ppm
11:32:48.565 -> O3: 0.92 ppm, NOx: 0.69 ppm
11:32:53.658 -> O3: 0.98 ppm, NOx: 0.87 ppm
11:32:58.716 -> O3: 1.07 ppm, NOx: 0.96 ppm
11:33:03.808 -> O3: 0.95 ppm, NOx: 0.70 ppm
11:33:08.931 -> O3: 0.94 ppm, NOx: 0.80 ppm
11:33:13.991 -> O3: 1.07 ppm, NOx: 0.93 ppm
11:33:19.104 -> O3: 0.83 ppm, NOx: 0.57 ppm
11:34:35.485 -> O3: 0.78 ppm, NOx: 0.48 ppm
11:34:40.544 -> O3: 0.96 ppm, NOx: 0.80 ppm
11:34:45.636 -> O3: 0.77 ppm, NOx: 0.51 ppm
11:34:50.727 -> O3: 1.00 ppm, NOx: 0.77 ppm
11:34:55.851 -> O3: 1.00 ppm, NOx: 0.93 ppm
11:35:00.911 -> O3: 0.84 ppm, NOx: 0.59 ppm
11:35:06.033 -> O3: 1.06 ppm, NOx: 0.88 ppm
11:35:11.122 -> O3: 1.03 ppm, NOx: 0.95 ppm
11:35:16.207 -> O3: 0.83 ppm, NOx: 0.63 ppm
11:35:21.316 -> O3: 0.94 ppm, NOx: 0.70 ppm
11:35:26.376 -> O3: 1.13 ppm, NOx: 1.02 ppm
11:35:31.484 -> O3: 1.12 ppm, NOx: 1.07 ppm
11:35:36.586 -> O3: 0.96 ppm, NOx: 0.85 ppm
11:35:41.642 -> O3: 0.77 ppm, NOx: 0.56 ppm
11:35:46.734 -> O3: 0.82 ppm, NOx: 0.56 ppm
11:35:51.854 -> O3: 0.87 ppm, NOx: 0.59 ppm
11:35:56.941 -> O3: 0.84 ppm, NOx: 0.51 ppm
11:36:02.045 -> O3: 1.00 ppm, NOx: 0.83 ppm
11:36:07.120 -> O3: 1.01 ppm, NOx: 0.90 ppm
11:36:12.187 -> O3: 0.88 ppm, NOx: 0.74 ppm
11:36:17.279 -> O3: 0.84 ppm, NOx: 0.58 ppm
11:36:22.377 -> O3: 0.88 ppm, NOx: 0.62 ppm
11:36:27.497 -> O3: 1.03 ppm, NOx: 0.82 ppm
11:36:32.555 -> O3: 1.08 ppm, NOx: 0.96 ppm
11:36:37.647 -> O3: 0.96 ppm, NOx: 0.83 ppm
11:36:42.761 -> O3: 0.75 ppm, NOx: 0.52 ppm
11:36:47.870 -> O3: 0.96 ppm, NOx: 0.77 ppm
11:36:52.933 -> O3: 0.96 ppm, NOx: 0.72 ppm
11:36:58.040 -> O3: 1.05 ppm, NOx: 0.88 ppm
11:37:03.151 -> O3: 1.05 ppm, NOx: 0.63 ppm
11:37:08.197 -> O3: 0.90 ppm, NOx: 0.72 ppm
11:37:13.289 -> O3: 0.82 ppm, NOx: 0.55 ppm
11:37:18.421 -> O3: 0.95 ppm, NOx: 0.67 ppm
11:37:23.498 -> O3: 1.07 ppm, NOx: 0.91 ppm
11:37:28.591 -> O3: 1.05 ppm, NOx: 0.98 ppm
11:37:33.653 -> O3: 0.95 ppm, NOx: 0.82 ppm
11:37:38.745 -> O3: 0.86 ppm, NOx: 0.67 ppm
11:37:43.836 -> O3: 0.81 ppm, NOx: 0.59 ppm
11:37:48.966 -> O3: 0.75 ppm, NOx: 0.48 ppm
11:37:54.023 -> O3: 0.98 ppm, NOx: 0.74 ppm
11:37:59.112 -> O3: 1.06 ppm, NOx: 0.93 ppm
11:38:04.223 -> O3: 1.05 ppm, NOx: 0.95 ppm
11:38:09.315 -> O3: 1.00 ppm, NOx: 0.91 ppm
11:38:14.403 -> O3: 0.92 ppm, NOx: 0.76 ppm
11:38:19.475 -> O3: 0.84 ppm, NOx: 0.61 ppm
11:38:24.570 -> O3: 0.89 ppm, NOx: 0.62 ppm
11:38:29.672 -> O3: 1.08 ppm, NOx: 0.90 ppm
11:38:34.751 -> O3: 1.03 ppm, NOx: 0.93 ppm
11:38:39.884 -> O3: 0.90 ppm, NOx: 0.73 ppm
