Timestamp,PM2.5 (µg/m³),PM10 (µg/m³)
2025-03-13 00:24:54,3.7,5.3
2025-03-13 00:24:56,3.6,5.2
2025-03-13 00:24:58,3.7,5.2
2025-03-13 00:25:00,3.7,5.3
2025-03-13 00:25:02,3.7,5.9
2025-03-13 00:25:04,3.6,4.6
2025-03-13 00:25:06,3.6,4.7
2025-03-13 00:25:08,3.6,4.9
2025-03-13 00:25:10,3.6,4.9
2025-03-13 00:25:12,3.6,4.9
2025-03-13 00:25:14,3.6,4.9
2025-03-13 00:25:16,3.6,5.0
2025-03-13 00:25:18,3.5,5.0
2025-03-13 00:25:20,3.5,4.9
2025-03-13 00:25:22,3.6,5.0
2025-03-13 00:25:24,3.6,5.1
2025-03-13 00:25:26,3.6,5.1
2025-03-13 00:25:28,3.7,5.0
2025-03-13 00:25:30,3.7,5.1
2025-03-13 00:25:32,3.6,5.1
2025-03-13 00:25:34,3.7,5.3
2025-03-13 00:25:36,3.7,5.6
2025-03-13 00:25:38,3.7,5.7
2025-03-13 00:25:40,3.7,5.7
2025-03-13 00:25:42,3.7,6.2
2025-03-13 00:25:44,3.8,6.4
2025-03-13 00:25:46,3.8,6.5
2025-03-13 00:25:48,3.8,6.4
2025-03-13 00:25:50,3.8,6.5
2025-03-13 00:25:52,3.8,6.5
2025-03-13 00:25:54,3.8,6.5
2025-03-13 00:25:56,3.8,6.6
2025-03-13 00:25:58,3.8,6.6
2025-03-13 00:26:00,3.8,6.6
2025-03-13 00:26:02,3.9,6.0
2025-03-13 00:26:04,3.9,5.9
2025-03-13 00:26:06,3.8,5.8
2025-03-13 00:26:08,3.9,5.7
2025-03-13 00:26:10,3.9,5.8
2025-03-13 00:26:12,3.9,5.7
2025-03-13 00:26:14,3.9,5.7
2025-03-13 00:26:16,3.9,5.7
2025-03-13 00:26:18,4.0,5.6
2025-03-13 00:26:20,4.0,5.7
2025-03-13 00:26:22,4.1,5.7
2025-03-13 00:26:24,4.1,5.7
2025-03-13 00:26:26,4.0,5.7
2025-03-13 00:26:28,4.0,5.8
2025-03-13 00:26:30,3.9,5.8
2025-03-13 00:26:32,4.0,5.9
2025-03-13 00:26:34,3.9,5.7
2025-03-13 00:26:36,3.9,5.5
2025-03-13 00:26:38,3.9,5.3
2025-03-13 00:26:40,3.9,5.4
2025-03-13 00:26:42,3.9,4.9
2025-03-13 00:26:44,3.9,4.7
2025-03-13 00:26:46,3.9,4.7
2025-03-13 00:26:48,3.9,4.8
2025-03-13 00:26:50,3.9,4.8
2025-03-13 00:26:52,3.9,5.1
2025-03-13 00:26:54,3.9,5.1
2025-03-13 00:26:56,3.8,5.0
2025-03-13 00:26:58,3.8,5.0
2025-03-13 00:27:00,3.7,4.9
2025-03-13 00:27:02,3.6,5.3
2025-03-13 00:27:04,3.7,5.3
2025-03-13 00:27:06,3.7,5.3
2025-03-13 00:27:08,3.6,5.3
2025-03-13 00:27:10,3.6,5.3
2025-03-13 00:27:12,3.6,5.2
2025-03-13 00:27:14,3.6,5.2
2025-03-13 00:27:16,3.5,5.2
2025-03-13 00:27:18,3.5,5.1
2025-03-13 00:27:20,3.5,5.1
2025-03-13 00:27:22,3.4,5.1
2025-03-13 00:27:24,3.4,5.1
2025-03-13 00:27:26,3.5,5.1
2025-03-13 00:27:28,3.5,5.0
2025-03-13 00:27:30,3.5,5.0
2025-03-13 00:27:32,3.5,4.9
2025-03-13 00:27:34,3.5,5.0
2025-03-13 00:27:36,3.4,4.8
2025-03-13 00:27:38,3.5,5.0
2025-03-13 00:27:40,3.4,4.9
2025-03-13 00:27:42,3.4,4.9
2025-03-13 00:27:44,3.4,4.8
2025-03-13 00:27:46,3.4,4.7
2025-03-13 00:27:48,3.3,4.5
2025-03-13 00:27:50,3.3,4.4
2025-03-13 00:27:52,3.3,4.2
2025-03-13 00:27:54,3.3,4.2
2025-03-13 00:27:56,3.4,4.2
2025-03-13 00:27:58,3.4,4.2
2025-03-13 00:28:00,3.5,4.3
2025-03-13 00:28:02,3.5,4.0
2025-03-13 00:28:04,3.5,3.9
2025-03-13 00:28:06,3.5,3.9
